,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
10,tt0397535,Memorie di una geisha,Memoirs of a Geisha,2005,2005-12-16,"Drama, Romance",145,"USA, Japan, France","English, Japanese",Rob Marshall,"Robin Swicord, Arthur Golden",Columbia Pictures,"Suzuka Ohgo, Togo Igawa, Mako, Samantha Futerman, Elizabeth Sung, Thomas Ikeda, Li Gong, Tsai Chin, Kaori Momoi, Zoe Weizenbaum, David Okihiro, Miyako Tachibana, Kotoko Kawamura, Karl Yune, Eugenia Yuan",Nitta Sayuri reveals how she transcended her fishing-village roots and became one of Japan's most celebrated geisha.,7.4,136390,$ 85000000,$ 57490508,$ 162242962,54.0,581.0,228.0
11,tt0053601,La sposa bella,The Angel Wore Red,1960,1960-04-14,"Action, Drama, War",95,"Italy, USA",English,Nunnally Johnson,"Nunnally Johnson, Giorgio Prosperi",Titanus,"Ava Gardner, Dirk Bogarde, Joseph Cotten, Vittorio De Sica, Aldo Fabrizi, Arnoldo Foà, Finlay Currie, Rossana Rory, Enrico Maria Salerno","Father Arturo Carrera (Sir Dirk Bogarde) leaves the priesthood over the church's indifferent position during the Spanish Civil War, but finds himself attracted to beautiful entertainer Soledad (Ava Gardner).",5.8,585,$ 1843000,,,,10.0,4.0
12,tt0045661,L'urlo dell'inseguito,Cry of the Hunted,1953,1953-05-08,"Crime, Drama, Film-Noir",80,USA,English,Joseph H. Lewis,"Jack Leonard, Jack Leonard",Metro-Goldwyn-Mayer (MGM),"Vittorio Gassman, Barry Sullivan, Polly Bergen, William Conrad, Mary Zavian, Robert Burton, Harry Shannon, Jonathan Cott",A fugitive is pursued by a lawman who is obsessed with his capture.,6.4,245,,,,,5.0,8.0
13,tt1318001,Handsome Harry,Handsome Harry,2009,2010-12-06,Drama,94,USA,English,Bette Gordon,Nicholas T. Proferes,Worldview Entertainment,"Jamey Sheridan, Steve Buscemi, Mariann Mayberry, Aidan Quinn, John Savage, Campbell Scott, Titus Welliver, Karen Young, Jayne Atkinson, Bill Sage, Emily Donahoe, Asher Grodman, Andrew Dolan, Rutanya Alda, Kevin Reed","An ex-Navy man carrying out the last wish of a dying shipmate renews contact with old friends to break the code of silence around a mysterious, long-buried crime.",6.1,2073,$ 1000000,$ 13500,$ 13500,59.0,25.0,25.0
14,tt0078203,Sasquatch: The Legend of Bigfoot,Sasquatch: The Legend of Bigfoot,1976,1976-02-13,"Adventure, Horror, Mystery",102,USA,English,Ed Ragozzino,"Ed Hawkins, Ronald D. Olson",North American Film Enterprises,"George Lauris, Steve Boergadine, Jim Bradford, Ken Kenzle, William Emmons, Joel Morello, Lou Salerni",Scientists mount an expedition to find a Bigfoot-type creature.,5.3,568,,,,,42.0,18.0
15,tt1692478,A New York Heartbeat,A New York Heartbeat,2013,2013-07-19,"Crime, Drama, Romance",95,USA,English,Tjardus Greidanus,Tjardus Greidanus,Laura Davis Productions,"Escher Holloway, Rachel Brosnahan, Eric Roberts, Jack Donner, Todd Julian, Rane Jameson, Barret Hackney, Amadeo Fusca, Eliza Roberts, Jeff Hochendoner, Adam Kroloff, Jarrod DiGiorgi, Robert Catrini, Adam Hagenbuch, Dean Jacobs","Spider, a young gang leader, gets in over his head when he robs a notorious gangster. On the run, he's taken in by a sheltered young woman and her reclusive uncle, a legendary mobster gunned down by the same gangster now pursuing Spider.",5.7,274,$ 500000,,,,2.0,6.0
16,tt3234084,I Do... Until I Don't,I Do... Until I Don't,2017,2017-09-01,Comedy,106,USA,English,Lake Bell,Lake Bell,Cold Iron Pictures,"Lake Bell, Ed Helms, Mary Steenburgen, Paul Reiser, Amber Heard, Wyatt Cenac, Dolly Wells, Chace Crawford, Chauntae Pink, Rae Gray, Miranda Bailey, Susan Berger, Diane Dehn, Sky Elobar, Hannah Friedman",An ensemble comedy about the meaning of matrimony.,4.5,1395,,$ 280668,$ 280668,43.0,17.0,14.0
17,tt2784036,Skating to New York,Skating to New York,2013,2014-12-12,"Drama, Sport",93,"Canada, USA",English,Charles Minsky,"Monte Merrick, Edmond Stevens",Navemar Productions,"Connor Jessup, Wesley Morgan, Gage Munroe, Matthew Knight, Dylan Everett, Michelle Nolden, Jason Gedrick, Niamh Wilson, Brandon McGibbon, Craig Eldridge, Evan Buliung, Duane Murray, Flint Eagle, Diana Bentley, Steve 'Shack' Shackleton","The coming-of-age journey of 5 teenage boys who leave their small, Canadian town behind and risk skating across Lake Ontario to New York on the coldest day of the year.",5.6,430,,,,,1.0,3.0
18,tt0790612,American Fork,American Fork,2007,2007-01-01,"Comedy, Drama",84,USA,English,Chris Bowman,"Hubbel Palmer, Hubbel Palmer",Alkaline Industries,"Hubbel Palmer, Kathleen Quinlan, Geoff Hansen, Scott Lincoln, Rae Ritke, Bruce McGill, Mary Lynn Rajskub, William Baldwin, Megan Ferguson, Vincent Caso, Miki Eto, Micaela Nelligan, Janet Varney, Rob Steiner, Guangze Zhu","At nearly 400 pounds, Tracy Orbison is a wide target. When he sets out to pursue his dream of acting, the grocery clerk finds an assortment of people waiting to dash his dreams: his acting ...",6.2,599,,$ 3359,$ 3359,,7.0,8.0
19,tt0068187,Alabama's Ghost,Alabama's Ghost,1973,1973-02-01,Horror,96,USA,English,Fredric Hobbs,Fredric Hobbs,Ellman Film Enterprises,"Christopher Brooks, Peggy Browne, E. Kerrigan Prescott, Steven Kent Browne, Ken Grantham, Karen Ingenthron, Ann Weldon, Ann Wagner Ward, Joel Nobel, Linda Shelburne, Squeak Krauthamer, Erica Shapiro, Lani Freeman, Hillary Roth, Patricia Shallcorss","Nightclub janitor discovers a secret room, finds old magician's belongings, tries on the costumes and becomes ""Alabama, King of the Cosmos.""",5.3,158,$ 55000,,,,7.0,18.0
